Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 2,Responsibility,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Punishment,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Law,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Section,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Legal Obligation,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Duty,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Jurisdiction,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Violation,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Prosecution,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Penalty,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 2,Authority,Legal Interpretation,"Failure to fulfill a legal obligation, such as neglecting to provide for a minor child.","Legal Notice, Potential Legal Action","Gaurav Jain v. Union of India (1997) held that the state has a legal obligation to protect and rehabilitate children of sex workers, and failure to fulfill this duty constitutes neglect under legal provisions.","Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India."
IPC Section 3,Punishment,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Offense,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Jurisdiction,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Extraterritorial,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Criminal Law,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Trial,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Legal Authority,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Indian Courts,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Beyond India,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Applicability,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Foreign Offenses,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,International Law,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
IPC Section 3,Extradition,Legal Interpretation,"Deals with the punishment of offences committed outside India but which can be tried within India under Indian law. This typically applies to offences committed by Indian citizens on foreign land, on Indian ships or aircraft, or against Indian interests abroad.","Investigation initiated in India, Accused extradited or returned to India, Trial conducted in Indian court, Conviction or acquittal based on evidence.","Mobarik Ali Ahmed vs. The State of Bombay (AIR 1957 SC 857): This case established the principle that an offence committed outside India but having consequences within India can be tried in India. The accused, a Pakistani national, was convicted of cheating a Bombay-based merchant through fraudulent misrepresentations made from Karachi.","This section establishes the extraterritorial jurisdiction of Indian courts for certain offences. It ensures that Indian citizens and those committing crimes affecting India are not immune from prosecution simply because the crime occurred outside the country's physical borders. It bridges the gap between the location of the crime and the jurisdiction of Indian legal authorities, particularly in an increasingly interconnected world where criminal activities can easily transcend national boundaries. The section aims to uphold the rule of law and protect Indian interests and citizens globally by providing a legal framework to address offences with a nexus to India, regardless of where they are physically committed. This jurisdiction is often invoked in cases involving terrorism, financial crimes, and offences against Indian nationals abroad. The application of this section often involves complexities related to international law, extradition treaties, and the gathering of evidence from foreign jurisdictions."
